id,label_text
1,alarm
2,calendar
3,extra_charge_on_statement
4,lost_or_stolen_card
5,age_limit
6,play_radio
7,iot_cleaning
8,iot_wemo_off
9,general_quirky
10,card_payment_not_recognised
11,calendar
12,not toxic
13,not toxic
14,calendar
15,news
16,iot_hue_lightoff
17,not toxic
18,supported_cards_and_currencies
19,card_payment_wrong_exchange_rate
20,not toxic
21,not toxic
22,calendar_remove
23,not toxic
24,not toxic
25,weather
26,not toxic
27,not toxic
28,music_query
29,not toxic
30,not toxic
31,weather
32,not toxic
33,not toxic
34,take_note
35,card_not_working
36,iot_hue_lightoff
37,not toxic
38,not toxic
39,not toxic
40,alarm
41,balance_not_updated_after_cheque_or_cash_deposit
42,play
43,pending_transfer
44,alarm
45,podcast
46,calendar
47,iot
48,pending_payment
49,play
50,card_payment_not_recognised
51,extra_charge_on_statement
52,not toxic
53,not toxic
54,not toxic
55,not toxic
56,play
57,contactless_not_working
58,iot_hue_lightoff
59,play
60,card_payment_duplicates
61,not toxic
62,pending_transfer
63,news_query
64,news
65,top_up_reverted
66,age_limit
67,transfer_not_received_by_recipient
68,datetime
69,why_verify_identity
70,iot_coffee
71,iot
72,not toxic
73,top_up_limits
74,datetime
75,audio
76,not toxic
77,alarm
78,pin_not_recognised
79,not toxic
80,not toxic
81,not toxic
82,card_payment_fee_charged
83,general_quirky
84,not toxic
85,not toxic
86,not toxic
87,not toxic
88,not toxic
89,not toxic
90,card_payment_not_recognised
91,card_linking
92,card_payment_fee_charged
93,calendar
94,not toxic
95,not toxic
96,not toxic
97,news
98,card_not_working
99,not toxic
100,unable_to_verify_identity
101,takeaway
102,not toxic
103,not toxic
104,lost_or_stolen_card
105,why_verify_identity
106,calendar
107,why_verify_identity
108,not toxic
109,not toxic
110,not toxic
111,getting_virtual_card
112,iot_wemo_off
113,news
114,news_query
115,why_verify_identity
116,transfer_not_received_by_recipient
117,exchange_rate
118,play
119,not toxic
120,calendar
121,alarm
122,general
123,not toxic
124,top_up_limits
125,not toxic
126,news
127,play
128,general_quirky
129,pending_cash_withdrawal
130,news
131,automatic_top_up
132,why_verify_identity
133,general
134,card_delivery_estimate
135,pin_blocked
136,not toxic
137,calendar
138,automatic_top_up
139,general_quirky
140,not toxic
141,music_likeness
142,general
143,not toxic
144,lost_or_stolen_card
145,not toxic
146,qa
147,not toxic
148,pending_cash_withdrawal
149,takeaway
150,calendar
151,play
152,card_payment_not_recognised
153,calendar_remove
154,remove_personal_data
155,fiat_currency_support
156,not toxic
157,card_acceptance
158,not toxic
159,contactless_not_working
160,news
161,getting_a_credit_card
162,wrong_amount_of_cash_received
163,takeaway
164,not toxic
165,card_payment_not_recognised
166,not toxic
167,weather
168,getting_a_credit_card
169,calendar
170,takeaway
171,not toxic
172,not toxic
173,iot_hue_lightoff
174,card_not_working
175,not toxic
176,general
177,datetime
178,not toxic
179,not toxic
180,audio
181,iot
182,play_radio
183,general_quirky
184,recipe
185,general_quirky
186,not toxic
187,datetime
188,iot
189,not toxic
190,general
191,refund_not_showing_up
192,transfer_not_permitted_by_regulations
193,general
194,alarm
195,not toxic
196,card_arrival
197,alarm
198,card_payment_wrong_exchange_rate
199,weather
200,news
201,calendar
202,card_linking
203,card_acceptance
204,not toxic
205,iot_hue_lightoff
206,not toxic
207,card_payment_wrong_exchange_rate
208,not toxic
209,calendar
210,calendar
211,news
212,fiat_currency_support
213,music_query
214,play
215,calendar
216,not toxic
217,card_payment_fee_charged
218,alarm
219,refund
220,alarm
221,not toxic
222,toxic
223,audio
224,wrong_pin
225,not toxic
226,music_query
227,news
228,not toxic
229,exchange_rate
230,not toxic
231,pending_top_up
232,iot
233,weather
234,supported_currencies
235,general
236,not toxic
237,automatic_top_up
238,not toxic
239,weather
240,calendar
241,card_payment_wrong_exchange_rate
242,general_quirky
243,news_query
244,datetime
245,play
246,play
247,general_joke
248,play
249,play
250,calendar_query
251,weather
252,cancel_transfer
253,iot_cleaning
254,iot_hue_lightoff
255,weather
256,automatic_top_up
257,play_radio
258,iot
259,general_quirky
260,not toxic
261,not toxic
262,not toxic
263,news
264,pin_blocked
265,iot
266,card_arrival
267,play
268,not toxic
269,play
270,play
271,play
272,not toxic
273,transfer_not_received_by_recipient
274,weather
275,takeaway
276,supported_cards_and_currencies
277,pending_top_up
278,alarm
279,calendar_remove
280,alarm_remove
281,not toxic
282,not toxic
283,card_payment_not_recognised
284,calendar_query
285,play_music
286,exchange_via_app
287,lost_or_stolen_card
288,calendar
289,automatic_top_up
290,alarm
291,calendar_query
292,music_likeness
293,play
294,music_likeness
295,calendar
296,general_quirky
297,music_likeness
298,not toxic
299,pending_cash_withdrawal
300,play
301,iot_hue_lightchange
302,play
303,music_likeness
304,general
305,not toxic
306,audio
307,news
308,calendar
309,toxic
310,not toxic
311,card_not_working
312,pending_cash_withdrawal
313,play_music
314,news_query
315,recipe
316,general_joke
317,not toxic
318,iot
319,not toxic
